,TY1 Comdty,GTUSDMX10Y Govt,GTHKD5Y Govt,PCOMP Index,JCI Index,WIG Index,CL1 Comdty,CO1 Comdty,INDEXCF Index,QS1 Comdty
12/17/2017,113.171875,#N/A N/A,2.978,3486.82,2664.918,55401.61,90.63,91.29,1887.61,814.75
12/18/2007,113.640625,#N/A N/A,2.993,3470.21,2646.228,55130.63,90.49,90.12,1908.63,811.75
12/19/2007,113.75,#N/A N/A,2.975,3466.28,2657.977,55060.77,91.24,91.48,1899.42,814
12/20/2007,113.515625,#N/A N/A,2.9,3491.96,2657.977,55309.84,91.06,90.88,1926.45,821
12/21/2007,112.4375,#N/A N/A,2.978,3532.98,2657.977,55792.46,93.31,92.46,1931.2,817.25
12/24/2007,112.09375,#N/A N/A,3.056,3532.98,2657.977,55792.46,94.13,92.7,1929.31,830
12/25/2007,112.09375,#N/A N/A,3.056,3532.98,2657.977,55792.46,94.13,92.7,1918.75,830
12/26/2007,111.59375,#N/A N/A,3.07,3612.63,2714.548,55792.46,95.97,93.94,1904.27,843
12/27/2007,112.21875,#N/A N/A,3.137,3667.64,2739.704,56560.93,96.62,94.78,1907.39,847
12/28/2007,112.90625,#N/A N/A,3.142,3621.6,2745.826,55648.54,96,93.88,1888.86,845
12/31/2007,113.390625,#N/A N/A,3.118,3621.6,2745.826,55648.54,95.98,93.85,1888.86,839.25
1/1/2008,113.390625,#N/A N/A,3.134,3621.6,2745.826,55648.54,95.98,93.85,1888.86,839.25
1/2/2008,114.390625,#N/A N/A,3.079,3617.29,2731.507,55521.39,99.62,97.84,1888.86,855
1/3/2008,114.34375,#N/A N/A,2.91,3501.38,2715.065,55497.97,99.18,97.6,1888.86,860.5
1/4/2008,114.984375,#N/A N/A,2.968,3479.37,2765.19,54850.74,97.91,96.79,1888.86,846.5
1/7/2008,115.15625,#N/A N/A,2.935,3388.81,2776.41,53718.51,95.09,94.39,1888.86,816.5
1/8/2008,115.15625,#N/A N/A,2.917,3420.56,2785.625,53862.62,96.33,95.54,1888.86,839.25
1/9/2008,115.46875,#N/A N/A,2.816,3416.08,2830.263,52419.12,95.67,94.37,1906.86,844.25
1/10/2008,114.8125,#N/A N/A,2.775,3454.6,2830.263,51123.31,93.71,92.22,1912.29,844.25
1/11/2008,115.4375,#N/A N/A,2.657,3503.7,2830.263,50400.82,92.69,91.07,1914.48,797.5
1/14/2008,115.5,#N/A N/A,2.396,3482.28,2810.372,49644.93,94.2,92.92,1931.14,808.5
1/15/2008,116.09375,#N/A N/A,2.361,3447.29,2730.031,47863.64,91.9,90.98,1921.38,798.5
1/16/2008,116.03125,#N/A N/A,2.279,3351.66,2592.311,46204.97,90.84,89.75,1839.04,780.5
1/17/2008,116.546875,#N/A N/A,2.281,3248.89,2649.279,46548.84,90.13,88.75,1805.42,786
1/18/2008,116.671875,#N/A N/A,2.185,3168.3,2611.132,47128.67,90.57,89.23,1788.34,789.5
1/21/2008,116.671875,#N/A N/A,2.321,3152.3,2485.879,44509.36,90.57,87.51,1654.83,778
1/22/2008,117.828125,#N/A N/A,2.249,2978.41,2294.524,45113.17,89.85,88.45,1636.79,776.75
1/23/2008,118.203125,#N/A N/A,2.136,3058.26,2476.278,45362.07,86.99,86.62,1570.9,770.75
1/24/2008,116.671875,#N/A N/A,1.999,3147.42,2516.701,47258.73,89.41,89.07,1661.99,774.25
1/25/2008,117.046875,#N/A N/A,2.062,3237.41,2620.493,47522.07,90.71,90.9,1705.2,797.75
1/28/2008,117,#N/A N/A,1.999,3203.56,2582.049,46632.21,90.99,91.38,1635.33,795.25
1/29/2008,116.53125,#N/A N/A,2.067,3224.24,2607.843,48037.07,91.64,92,1678.42,810.5
1/30/2008,116,#N/A N/A,2.142,3256.53,2610.359,48451.01,92.33,92.53,1642.63,810.25
1/31/2008,116.71875,#N/A N/A,2.093,3266,2627.251,47747.81,91.75,92.21,1574.33,797
2/1/2008,117.046875,#N/A N/A,2.057,3294.08,2646.821,49092.2,88.96,89.44,1640.49,800.25
2/4/2008,116.8125,#N/A N/A,2.059,3323.25,2701.629,49429.45,90.02,90.47,1677.78,799.75
2/5/2008,117.4375,#N/A N/A,2.062,3283.56,2704.247,47874.99,88.41,88.82,1632.37,784.75
2/6/2008,117.3125,#N/A N/A,1.989,3228.84,2639.087,47929.48,87.14,87.78,1631.1,784.75
2/7/2008,116.53125,#N/A N/A,1.989,3223.2,2639.087,47263.33,88.11,88.51,1581.96,788.75
2/8/2008,117.078125,#N/A N/A,1.989,3241.13,2639.087,47588.98,91.77,91.94,1568.88,817.75
2/11/2008,117.328125,#N/A N/A,1.988,3179.48,2589.382,47942.35,93.59,93.53,1605.1,849
2/12/2008,116.890625,#N/A N/A,2.047,3200.9,2592.07,49364.33,92.78,92.86,1665.47,849
2/13/2008,116.984375,#N/A N/A,2.081,3223.35,2610.781,49770.4,93.27,93.32,1688.3,833.25
2/14/2008,116.234375,#N/A N/A,2.098,3211.6,2675.645,50029.37,95.46,95.09,1687.9,847.25
2/15/2008,116.4375,#N/A N/A,2.198,3182.85,2688.191,49309.45,95.5,94.63,1655.31,853.5
2/18/2008,116.4375,#N/A N/A,2.209,3163.25,2684.702,50193.53,95.5,94.91,1692.38,853.75
2/19/2008,115.625,#N/A N/A,2.281,3190.67,2711.872,50149.68,100.01,98.56,1706.47,879.25
2/20/2008,115.296875,#N/A N/A,2.399,3181.05,2689.256,49837.48,100.74,98.42,1683.43,885
2/21/2008,116.484375,#N/A N/A,2.497,3176.06,2734.21,49721.81,98.23,96.24,1723.02,888
2/22/2008,116.5,#N/A N/A,2.418,3080.24,2741.181,49320.22,98.81,97.01,1721.11,890
2/25/2008,115.625,#N/A N/A,2.488,3080.24,2751.862,49413.12,99.23,97.69,1721.11,899.5
2/26/2008,115.953125,#N/A N/A,2.534,3079.54,2738.872,49038.71,100.88,99.47,1726.03,898.75
2/27/2008,116.0625,#N/A N/A,2.449,3105,2740.138,48910.13,99.64,98.27,1710.73,893.75
2/28/2008,117.140625,#N/A N/A,2.335,3112.85,2756.314,48505.48,102.59,100.9,1689.5,907.5
2/29/2008,118.6875,#N/A N/A,2.15,3129.99,2721.944,47522,101.84,100.1,1660.42,915
3/3/2008,118.703125,#N/A N/A,2.023,3079.99,2652.312,46556.85,102.45,100.48,1643.31,937
3/4/2008,118.578125,#N/A N/A,2.059,3108.72,2634.752,45807.69,99.52,97.52,1636.2,914.25
3/5/2008,118,#N/A N/A,2.046,3092.65,2639.652,46772.32,104.52,101.64,1655.66,957.5
3/6/2008,118.53125,#N/A N/A,2.077,3116.84,2656.456,46335.81,105.47,102.61,1652.01,965
3/7/2008,119.3125,#N/A N/A,1.989,3028.73,2656.456,45792.47,105.15,102.38,1619.3,972.5
3/10/2008,120.09375,#N/A N/A,1.939,2908.88,2527.867,46397.34,107.9,104.16,1619.3,977
3/11/2008,118.703125,#N/A N/A,1.901,2909,2523.534,47345.99,108.75,105.25,1674.47,979.75
3/12/2008,119.71875,#N/A N/A,1.953,2953.39,2556.242,47624.22,109.92,106.27,1677.41,979.75
3/13/2008,119.59375,#N/A N/A,1.892,2940.47,2440.592,46423.82,110.33,107.54,1647.52,977.75
3/14/2008,120.90625,#N/A N/A,1.941,2906.53,2383.42,46239.44,110.21,107.55,1651.91,997.75
3/17/2008,121.6875,#N/A N/A,1.741,2793.68,2312.321,44933.9,105.68,101.75,1582.02,957.5
3/18/2008,120.703125,#N/A N/A,1.747,2777.42,2339.795,46332.85,109.42,105.56,1607.84,975.25
3/19/2008,120.9375,#N/A N/A,1.881,2817.58,2323.566,46667.43,104.48,100.72,1602.52,957
3/20/2008,119.828125,#N/A N/A,1.813,2817.58,2323.566,45903.7,101.84,100.38,1569.18,922
3/21/2008,119.828125,#N/A N/A,1.803,2817.58,2323.566,45903.7,101.84,100.38,1576.47,922
3/24/2008,118.21875,#N/A N/A,1.803,2867.5,2339.294,45903.7,100.86,99.86,1623.35,928.5
3/25/2008,118.53125,#N/A N/A,1.963,2892.2,2419.616,47290.8,101.22,100.6,1594.02,909.25
3/26/2008,118.65625,#N/A N/A,1.981,2918.37,2440.64,47380.95,105.9,103.99,1593.73,947.25
3/27/2008,118.359375,#N/A N/A,1.989,2925.91,2451.35,48012.4,107.58,105,1618.61,962.75
3/28/2008,118.703125,#N/A N/A,2.051,2956.02,2477.586,47936.7,105.62,103.77,1627.87,962
3/31/2008,118.953125,#N/A N/A,2.049,2984.67,2447.299,48011.28,101.58,100.3,1628.43,969
4/1/2008,117.71875,#N/A N/A,2.025,2969.83,2393.249,48584.81,100.98,100.17,1640.75,927
4/2/2008,117.421875,#N/A N/A,2.094,3048.31,2342.189,48548.05,104.83,103.75,1652.86,923.75
4/3/2008,117.421875,#N/A N/A,2.162,3034.81,2237.971,48137.51,103.83,102.52,1631.2,956.75
4/4/2008,118.3125,#N/A N/A,2.186,2983.04,2277.085,48615.51,106.23,104.9,1635.04,963.25
4/7/2008,117.484375,#N/A N/A,2.149,2983.04,2286.797,48900.99,109.09,107.14,1673.78,1004
4/8/2008,117.46875,#N/A N/A,2.133,2981.12,2249.77,48249.15,108.5,106.34,1655.59,999
4/9/2008,118.1875,#N/A N/A,2.092,2961.78,2180.089,48557.79,110.87,108.47,1681.54,1024.75
4/10/2008,117.546875,#N/A N/A,2.003,2955.11,2235.934,48148.78,110.11,108.2,1684.56,1024.75
4/11/2008,118.203125,#N/A N/A,2.053,2940.98,2303.929,47064.18,110.14,108.75,1649,1013
4/14/2008,117.921875,#N/A N/A,2.015,2918.27,2272.476,46715.7,111.76,109.84,1638.29,1017.75
4/15/2008,117.40625,#N/A N/A,2.06,2904.73,2294.257,47005.72,113.79,111.31,1661.02,1039.75
4/16/2008,116.59375,#N/A N/A,2.123,2921.74,2337.923,47125.13,114.93,112.66,1690.59,1044.75
4/17/2008,116.359375,#N/A N/A,2.208,2940.48,2341.78,46997.47,114.86,112.43,1672.75,1037.75
4/18/2008,116.140625,#N/A N/A,2.245,2915.67,2349.269,47477.05,116.69,113.92,1706.63,1051
4/21/2008,116.390625,#N/A N/A,2.236,2890.92,2335.889,46957.62,117.48,114.43,1686.88,1057
4/22/2008,116.25,#N/A N/A,2.241,2855.75,2289.096,46152.17,119.37,115.95,1680.96,1068.5
4/23/2008,116.078125,#N/A N/A,2.272,2824.81,2314.302,45393.98,118.3,116.46,1673.59,1068.25
4/24/2008,115.3125,#N/A N/A,2.297,2844.02,2269.98,45957.92,116.06,114.34,1646.75,1076.25
4/25/2008,115.0625,#N/A N/A,2.5,2777.93,2240.578,46265.27,118.52,116.34,1668.86,1085.75
4/28/2008,115.34375,#N/A N/A,2.483,2739.44,2254.308,46807.86,118.75,116.74,1675.34,1083.75
4/29/2008,115.390625,#N/A N/A,2.431,2754.29,2303.526,46223.87,115.63,113.43,1668.28,1086
4/30/2008,115.8125,#N/A N/A,2.407,2749.77,2304.516,46691.84,113.46,111.36,1667.35,1073.25
5/1/2008,115.734375,#N/A N/A,2.407,2749.77,2304.516,46691.84,112.52,110.5,1667.35,1046.75
5/2/2008,114.96875,#N/A N/A,2.401,2722.95,2342.76,46691.84,116.32,114.56,1667.35,1076.5
5/5/2008,115.078125,#N/A N/A,2.463,2765.52,2387.986,47427.92,119.97,117.99,1688.31,1099.5
5/6/2008,114.84375,#N/A N/A,2.446,2727.7,2371.827,47536.28,121.84,120.31,1694.44,1114.5
5/7/2008,115.109375,#N/A N/A,2.476,2739.43,2382.699,48264.32,123.53,122.32,1739.26,1123.5
5/8/2008,115.796875,#N/A N/A,2.478,2760.62,2376.933,47729.92,123.69,122.84,1795.67,1153.75
5/9/2008,116.0625,#N/A N/A,2.392,2779.42,2375.027,47598.66,125.96,125.4,1795.67,1192.5
5/12/2008,116.03125,#N/A N/A,2.385,2803.49,2378.003,47956.52,124.23,122.91,1822,1192.5
5/13/2008,114.921875,#N/A N/A,2.458,2849.29,2418.9,48014.37,125.8,124.1,1839.78,1203.5
5/14/2008,114.5625,#N/A N/A,2.672,2862.53,2449.338,48321.35,124.22,121.86,1904.2,1195.75
5/15/2008,115.28125,#N/A N/A,2.651,2878.26,2449.811,47760.75,124.12,121.25,1895.3,1198.25
5/16/2008,115.21875,#N/A N/A,2.574,2879.95,2468.84,47960.4,126.29,124.99,1943.88,1201.5
5/19/2008,115.40625,#N/A N/A,2.545,2877.46,2510.96,47709.82,127.05,125.06,1956.14,1198.75
5/20/2008,115.96875,#N/A N/A,2.531,2896.15,2510.96,47025.2,129.07,127.84,1930.76,1230.5
5/21/2008,115.640625,#N/A N/A,2.49,2872.45,2494.709,47014.99,133.17,132.7,1952.84,1253.5
5/22/2008,114.734375,#N/A N/A,2.529,2838.58,2503.952,47014.99,130.81,130.51,1894.85,1273
5/23/2008,115.515625,#N/A N/A,2.635,2849.28,2465.955,46573.9,132.19,131.57,1909.67,1282.75
5/26/2008,115.515625,#N/A N/A,2.639,2840.52,2419.727,46620.03,132.19,132.37,1894.91,1279.5
5/27/2008,114.8125,#N/A N/A,2.712,2855.98,2396.999,46582.82,128.85,128.31,1856.81,1258.75
5/28/2008,114.125,#N/A N/A,2.774,2833.27,2433.769,46868.52,131.03,130.93,1871.25,1245
5/29/2008,113.703125,#N/A N/A,2.885,2802.22,2446.954,46546.54,126.62,126.89,1908.35,1228.5
5/30/2008,113.953125,#N/A N/A,2.892,2827.44,2444.349,46624.44,127.35,127.78,1925.24,1187.75
6/2/2008,114.84375,#N/A N/A,2.874,2825.89,2427.768,46390.78,127.76,128.02,1915.84,1193
6/3/2008,115.671875,#N/A N/A,2.811,2782.8,2403.814,46692.35,124.31,124.58,1901.09,1182
6/4/2008,115.4375,#N/A N/A,2.811,2773.12,2362.588,45908.71,122.3,122.1,1842.77,1146.5
6/5/2008,114.75,#N/A N/A,2.904,2718.42,2399.677,46100.38,127.79,127.54,1842.98,1153.75
6/6/2008,115.421875,#N/A N/A,3.011,2739.7,2402.236,45819.4,138.54,137.69,1852.4,1248.75
6/9/2008,114.65625,#N/A N/A,3.021,2739.7,2410.077,45029.57,134.35,133.91,1827.91,1259.75
6/10/2008,113.734375,#N/A N/A,3.302,2645.95,2373.817,43782.32,131.31,131.02,1811.29,1261
6/11/2008,113.984375,#N/A N/A,3.348,2579.28,2374.785,42968.11,136.38,135.02,1826.67,1283
6/12/2008,112.953125,#N/A N/A,3.39,2544.89,2409.008,43459.77,136.74,136.09,1826.67,1257.75
6/13/2008,112.59375,#N/A N/A,3.708,2554.75,2398.417,43623.32,134.86,134.25,1826.67,1247.75
6/16/2008,112.75,#N/A N/A,3.723,2620.76,2398.041,43322.93,134.61,134.71,1831.99,1264
6/17/2008,113.0625,#N/A N/A,3.627,2637.26,2377.976,43559.61,134.01,133.72,1856.59,1237.75
6/18/2008,113.65625,#N/A N/A,3.632,2628.2,2364.58,42925.3,136.68,136.44,1851.09,1212.25
6/19/2008,113.234375,#N/A N/A,3.571,2592.59,2373.062,43310.33,131.93,132,1848.52,1221.75
6/20/2008,112.484375,#N/A N/A,3.567,2578.57,2371.776,42987.44,134.62,134.86,1829.22,1233
6/23/2008,112.25,#N/A N/A,3.535,2499.38,2362.744,42272.15,136.74,135.91,1800.99,1244
6/24/2008,112.9375,#N/A N/A,3.581,2474.87,2365.378,42006.23,137,136.46,1761.8,1239.25
6/25/2008,112.78125,#N/A N/A,3.519,2510.8,2341.362,42077.27,134.55,134.33,1764.32,1206.25
6/26/2008,113.65625,#N/A N/A,3.452,2521.61,2350.892,42117.4,139.64,139.83,1757.46,1253.75
6/27/2008,113.828125,#N/A N/A,3.313,2466.28,2332.115,41373.83,140.21,140.31,1765.91,1266.75
6/30/2008,113.921875,#N/A N/A,3.241,2459.98,2349.105,41146.26,140,139.83,1753.67,1262.5
7/1/2008,113.875,#N/A N/A,3.238,2415.25,2378.808,40489.39,140.97,140.67,1693.21,1276.75
7/2/2008,114.21875,#N/A N/A,3.315,2393.9,2378.474,40419.99,143.57,144.26,1709.17,1288.5
7/3/2008,114.359375,#N/A N/A,3.363,2339.84,2286.611,40101.76,145.29,146.08,1695.47,1313
7/4/2008,114.359375,#N/A N/A,3.363,2369.21,2314.751,39584.02,145.29,144.42,1666.75,1298
7/7/2008,114.84375,#N/A N/A,3.337,2414.66,2303.818,39471.6,141.37,141.87,1679.32,1270.75
7/8/2008,115.234375,#N/A N/A,3.29,2450.55,2278.973,39429.79,136.04,136.43,1665.04,1222.75
7/9/2008,115.5,#N/A N/A,3.287,2481.53,2286.026,40003.07,136.05,136.58,1655.75,1235.5
7/10/2008,115.671875,#N/A N/A,3.197,2450.62,2276.231,39632.83,141.65,142.03,1659.57,1235.5
7/11/2008,114.421875,#N/A N/A,3.236,2437.99,2276.853,38927.92,145.08,144.49,1622.01,1325.25
7/14/2008,114.96875,#N/A N/A,3.359,2457.27,2259.54,38828.47,145.18,143.92,1666.47,1309.5
7/15/2008,115.421875,#N/A N/A,3.215,2413.26,2214.852,37654.12,138.74,138.75,1629.28,1253.5
7/16/2008,114.875,#N/A N/A,3.137,2373.7,2218.125,37507.55,134.6,136.19,1640.9,1238.25
7/17/2008,113.890625,#N/A N/A,3.162,2393.62,2167.713,38682.73,129.29,131.07,1689.3,1250
7/18/2008,113.609375,#N/A N/A,3.187,2389.52,2141.135,38847.26,128.88,130.19,1623.09,1211.25
7/21/2008,113.765625,#N/A N/A,3.33,2416.62,2195.067,39745.36,131.04,132.61,1634.36,1212
7/22/2008,113.46875,#N/A N/A,3.315,2409.98,2212.754,39799.18,127.95,129.55,1606.11,1190.5
7/23/2008,113.015625,#N/A N/A,3.41,2462.94,2225.844,40702.54,124.44,125.29,1603.04,1170.25
7/24/2008,114.15625,#N/A N/A,3.414,2535.91,2257.054,40381.78,125.49,126.44,1573.53,1163.5
7/25/2008,113.4375,#N/A N/A,3.328,2512.72,2245.344,40640.39,123.26,124.52,1487.1,1155.75
7/28/2008,114.265625,#N/A N/A,3.379,2540.81,2275.676,40879.48,124.73,125.84,1456.16,1162.25
7/29/2008,114.109375,#N/A N/A,3.34,2526.04,2278.684,40869.23,122.19,122.71,1439.01,1138.5
7/30/2008,114.109375,#N/A N/A,3.363,2583.83,2278.684,42416.36,126.77,127.1,1501.2,1131.75
7/31/2008,114.828125,#N/A N/A,3.311,2577.1,2304.508,42405.83,124.08,123.98,1495.33,1127.75
8/1/2008,115.03125,#N/A N/A,3.222,2584.21,2248.75,42017.93,125.1,124.18,1492.55,1125.5
8/4/2008,114.84375,#N/A N/A,3.195,2599.99,2227.675,41628.12,121.41,120.68,1451.47,1104
8/5/2008,114.703125,#N/A N/A,3.176,2602.38,2185.619,42118.25,119.17,117.7,1397.46,1066.5
8/6/2008,114.484375,#N/A N/A,3.187,2697.21,2187.204,41437.13,118.58,117,1412.09,1048.5
8/7/2008,115.59375,#N/A N/A,3.156,2684.64,2199.011,40924.25,120.02,117.86,1434.89,1057.5
8/8/2008,115.3125,#N/A N/A,3.077,2692.81,2195.926,40651.79,115.2,113.33,1359.62,1019.75
8/11/2008,114.875,#N/A N/A,3.03,2768.52,2133.92,40949.96,114.45,112.67,1412.25,1018.75
8/12/2008,115.71875,#N/A N/A,3.073,2755.86,2057.579,41457.96,113.01,111.15,1449.34,1018.75
8/13/2008,115.40625,#N/A N/A,2.998,2721.94,2063.521,41049.76,116,113.47,1424.44,1019
8/14/2008,115.8125,#N/A N/A,2.917,2727.28,2106.642,40903.46,115.01,112.64,1444.76,1016.25
8/15/2008,116.09375,#N/A N/A,2.917,2725.15,2085.148,40903.46,113.77,112.55,1460.2,991.25
8/18/2008,116.390625,#N/A N/A,2.896,2725.15,2085.148,40736.81,112.87,111.94,1448.64,1003.25
8/19/2008,116.265625,#N/A N/A,2.869,2691.2,2042.498,39777.48,114.53,113.25,1361.54,1010
8/20/2008,116.65625,#N/A N/A,2.863,2681.66,2069.698,39888.14,114.98,114.36,1386.59,1004
8/21/2008,116.3125,#N/A N/A,2.802,2656.92,2088.251,39903.25,121.18,120.16,1394.53,1069.5
8/22/2008,116.015625,#N/A N/A,2.79,2653.18,2120.491,40411.33,114.59,113.92,1374.69,1030.5
8/25/2008,116.8125,#N/A N/A,2.87,2653.18,2127.224,40281.62,115.11,114.03,1320.58,1020.75
8/26/2008,116.78125,#N/A N/A,2.821,2637.65,2107.548,39799,116.27,114.63,1292.92,1034.75
8/27/2008,116.984375,#N/A N/A,2.798,2646.7,2131.063,39468.17,118.15,116.22,1302.58,1041.5
8/28/2008,116.828125,#N/A N/A,2.77,2655.75,2144.848,40149.89,115.59,114.17,1365.29,1032.25
8/29/2008,116.6875,#N/A N/A,2.757,2688.09,2165.943,40481.8,115.46,114.05,1348.92,1030.25
9/1/2008,116.6875,#N/A N/A,2.74,2686.52,2164.62,40440.13,115.46,109.41,1366.24,987
9/2/2008,117.390625,#N/A N/A,2.768,2708.25,2159.052,41389.15,109.71,108.34,1368.99,979.25
9/3/2008,117.6875,#N/A N/A,2.765,2750.03,2116,41152.32,109.35,108.06,1324.99,974.5
9/4/2008,117.921875,#N/A N/A,2.746,2754.05,2075.234,41263.03,107.89,106.3,1281.86,972.75
9/5/2008,117.609375,#N/A N/A,2.648,2724.72,2022.564,39913.52,106.23,104.09,1234.71,953.25
9/8/2008,117.40625,#N/A N/A,2.723,2728.53,2037.998,40654.47,106.34,103.44,1273.78,958
9/9/2008,117.859375,#N/A N/A,2.587,2721.52,1958.752,40246.8,103.26,100.34,1158.07,937.75
9/10/2008,117.484375,#N/A N/A,2.563,2709.49,1885.043,39572.33,102.58,98.97,1114.67,921
9/11/2008,117.640625,#N/A N/A,2.543,2672.56,1870.133,39038.96,100.87,97.64,1073.02,921
9/12/2008,116.96875,#N/A N/A,2.521,2646.12,1804.062,39121.03,101.18,97.58,1137.76,939.75
9/15/2008,119.171875,#N/A N/A,2.508,2536.16,1719.254,37705.13,95.71,92.38,1067.45,899
9/16/2008,118.984375,#N/A N/A,2.148,2421.72,1735.636,36560.96,91.15,89.22,881.17,882
9/17/2008,119.984375,#N/A N/A,2.373,2457,1769.894,36431.54,97.16,94.84,853.93,880.75
9/18/2008,119.9375,#N/A N/A,2.335,2352.37,1787.673,36578.47,97.88,95.19,853.93,900
9/19/2008,116.828125,#N/A N/A,2.488,2462.79,1891.732,38360.99,104.55,99.61,1098.95,906.5
9/22/2008,115.140625,#N/A N/A,2.679,2520.13,1897.342,38277.87,120.92,106.04,1105.73,965.75
9/23/2008,114.859375,#N/A N/A,2.797,2486.29,1873.1,37405.6,106.61,103.08,1071.18,969.25
9/24/2008,115.234375,#N/A N/A,2.873,2510.32,1883.551,37486.11,105.73,102.45,1105.72,986.25
9/25/2008,114.34375,#N/A N/A,2.914,2566.37,1870.061,38400.15,108.02,104.6,1095.51,968
9/26/2008,114.8125,#N/A N/A,2.844,2597.23,1846.091,38460.54,106.89,103.54,1079.04,962.75
9/29/2008,116.578125,#N/A N/A,2.839,2607.58,1832.507,36854.78,96.37,93.98,1019.64,919.75
9/30/2008,114.625,#N/A N/A,2.555,2569.65,1832.507,37367.33,100.64,98.17,1027.66,914.5
10/1/2008,115.09375,#N/A N/A,2.541,2569.65,1832.507,37783.08,98.53,95.33,1017.17,917.75
10/2/2008,115.5,#N/A N/A,2.588,2612.89,1832.507,37179.65,93.97,90.56,976.12,896
10/3/2008,116,#N/A N/A,2.53,2566.21,1832.507,36830.27,93.88,90.25,924.55,882.75
10/6/2008,117.96875,#N/A N/A,2.406,2499.53,1648.739,34832.29,87.81,83.68,752,829.5
10/7/2008,117.140625,#N/A N/A,2.415,2424.19,1619.721,34166.86,90.06,84.66,744.76,817.75
10/8/2008,114.9375,#N/A N/A,2.151,2307.74,1451.669,33643.42,88.95,84.36,637.87,791.5
10/9/2008,113.53125,#N/A N/A,2.281,2288.44,1451.669,33724.03,86.59,82.66,700.37,788.5
10/10/2008,113.546875,#N/A N/A,2.223,2097.8,1451.669,31041.42,77.7,74.09,700.37,788.5
10/13/2008,112.25,#N/A N/A,2.277,2118.75,1461.873,31554.9,81.19,77.46,666.37,746.25
10/14/2008,112.140625,#N/A N/A,2.363,2273.65,1555.967,32757.06,78.63,74.53,755.22,744.25
10/15/2008,111.96875,#N/A N/A,2.386,2238.41,1520.407,30997.31,74.54,70.8,689.71,704.75
10/16/2008,112.296875,#N/A N/A,2.387,2122.37,1463.251,30047.39,69.85,66.32,626.85,674.5
10/17/2008,111.921875,#N/A N/A,2.384,2098.26,1399.424,28624.85,71.85,69.6,599.64,678
10/20/2008,113.015625,#N/A N/A,2.359,2062.88,1426.938,28670.13,74.25,72.03,626.42,691.25
10/21/2008,114.5,#N/A N/A,2.301,2116.74,1440.149,29096.61,70.89,69.72,652.51,688.5
10/22/2008,115.25,#N/A N/A,2.088,2093.01,1379.743,27282.25,66.75,64.52,628.12,663
10/23/2008,115.84375,#N/A N/A,2.061,1995.92,1337.204,26273.3,67.84,65.92,598.87,667.25
10/24/2008,115.125,#N/A N/A,2.057,1953.49,1244.864,25291.39,64.15,62.05,513.62,628.75
10/27/2008,115.125,#N/A N/A,2.112,1713.83,1166.409,25278.6,63.22,61.41,513.62,629.75
10/28/2008,114.359375,#N/A N/A,2.145,1704.41,1111.39,25874.05,62.73,60.29,534.87,622
10/29/2008,114.0625,#N/A N/A,2.062,1780.64,1113.624,27497.03,67.5,65.47,608.88,657.75
10/30/2008,113.578125,#N/A N/A,2.009,1864.93,1173.863,28056.29,65.96,63.71,727.39,628.75
10/31/2008,113.078125,#N/A N/A,2.024,1951.09,1256.704,28397.06,67.81,65.32,731.96,636.5
11/3/2008,113.796875,#N/A N/A,2.016,2025.58,1352.716,28455.94,63.91,60.48,766.92,645
11/4/2008,115.125,#N/A N/A,1.939,2003.04,1369.785,29600.54,70.53,66.44,766.92,675.25
11/5/2008,115.453125,#N/A N/A,1.827,2006.21,1366.275,29070.63,65.3,61.87,775.19,651.5
11/6/2008,115.453125,#N/A N/A,1.816,1941.62,1307.897,27976.81,60.77,57.43,700.59,618.5
11/7/2008,115.0625,#N/A N/A,1.82,1921.34,1338.36,28427.3,61.04,57.35,725.93,625
11/10/2008,115.53125,#N/A N/A,1.809,1938.97,1340.681,28819.98,62.41,59.08,741.51,632.75
11/11/2008,116,#N/A N/A,1.732,1948.22,1336.557,28819.98,59.33,55.71,647.8,610.25
11/12/2008,116.65625,#N/A N/A,1.703,1948.72,1326.621,27590.59,56.16,52.37,647.8,610.25
11/13/2008,116.40625,#N/A N/A,1.672,1918.97,1259.713,26702.48,58.24,51.99,598.43,574.25
11/14/2008,116.921875,#N/A N/A,1.63,1978.05,1264.377,27110.59,57.04,54.24,592.07,578.5
11/17/2008,117.453125,#N/A N/A,1.523,1940,1236.933,26583.32,54.95,52.31,560.86,580
11/18/2008,118.46875,#N/A N/A,1.435,1873.6,1189.862,25778.61,54.39,51.84,579.17,555.75
11/19/2008,119.25,#N/A N/A,1.389,1908.18,1180.357,26108.55,53.62,51.72,558.12,547.25
11/20/2008,120.71875,#N/A N/A,1.337,1842.33,1154.97,24852.95,49.62,48.08,533.7,529.75
11/21/2008,120.484375,#N/A N/A,1.255,1765.9,1146.276,25388.84,49.93,49.19,516.93,520.75
11/24/2008,119.390625,#N/A N/A,1.448,1799.72,1141.401,26964.31,54.5,53.93,604.87,553.5
11/25/2008,121.171875,#N/A N/A,1.565,1908.18,1154.141,27232.25,50.77,50.35,595.15,532.75
11/26/2008,122.359375,#N/A N/A,1.484,1932.91,1193.151,27246.38,54.44,53.92,588.02,544.75
11/27/2008,122.359375,#N/A N/A,1.502,1967.01,1202.074,27543.48,54.44,53.13,616.69,542.25
11/28/2008,122.890625,#N/A N/A,1.48,1971.57,1241.541,27130.09,54.43,53.49,611.32,525.5
